学号,姓名,年龄,性别,出生日期 ,出生地,籍贯,国籍/地区,身份证件号,健康状况,联系电话
10000245,夔东易,28,男,1993-04-14,漳州路一路76号-6-10,上海,中国,322536194306245738,健康或良好,13108886940
10000246,衡言造,30,男,1992-02-21,黄县路77号-7-1,上海,美国,510622193002117818,残疾,13606522539
10000247,扶其边,19,女,1996-08-08,惜福镇街道136号-18-2,安徽,台湾,420124194809037887,残疾,13000493541
10000248,昝有完,19,女,1995-03-21,新浦路11号-7-8,云南,台湾,710724195808276457,有生理缺陷,13008778211
10000249,景变业,20,女,1996-03-08,正阳路90号-18-9,云南,美国,442123192708066268,健康或良好,15804967853
10000250,侯续将,20,男,1993-12-17,台西二街129号-5-4,江苏,澳门,430221194708222752,有慢性病,15603995982
10000251,滕识青,21,男,1996-05-12,大沽街72号-13-4,湖北,香港,452725200802291599,残疾,15602087504
10000252,姜左便,18,男,1995-09-11,无棣二大厦71号-20-9,云南,台湾,532126192506138474,健康或良好,13906714705
10000253,仰企就,26,男,1994-10-05,滋阳街80号-8-1,湖北,澳门,642134199210168104,一般或较弱,13101715990
10000254,佟千战,30,女,1993-09-02,硕阳街114号-7-3,湖北,香港,620337198609021965,残疾,15103921877
10000255,相处很,34,男,1993-08-13,滕县路128号-3-3,上海,澳门,622626198605038531,有慢性病,15502410788
10000256,那子化,29,男,1991-10-31,西陵峡二街15号-17-1,安徽,香港,622502198103183708,残疾,15908094574
10000257,甄须且,27,女,1992-06-12,澄海二街143号-19-10,云南,中国,532702195212316652,残疾,15106044398
10000258,祁光家,30,男,1994-02-11,风岗街68号-9-9,上海,美国,132710195904118450,健康或良好,15007287583
10000259,冉兵前,25,女,1996-12-19,雒口大厦42号-3-8,云南,台湾,642510193911289501,有慢性病,13508065599
10000260,盛住织,23,男,1996-04-24,定陶街67号-12-9,云南,澳门,122223192706103468,一般或较弱,15802160148
10000261,相帮位,26,男,1995-03-31,金口三路62号-16-9,湖北,中国,212726196011235877,一般或较弱,13900928333
10000262,白样原,33,男,1995-11-14,吴兴二大厦73号-15-8,江苏,中国,650724192409011467,有生理缺陷,15702036774
10000263,督毛改,19,男,1996-03-17,登州路94号-12-7,江苏,美国,361022196508189961,残疾,13005246845
10000264,陈边等,22,女,1992-03-18,仰口街134号-8-3,上海,美国,652529192412302867,健康或良好,13902205753
10000265,慕些格,20,女,1993-06-18,市场三街44号-2-6,云南,中国,150928193808165989,健康或良好,13707194371
10000266,慕条叫,23,女,1996-02-25,巫峡大厦63号-7-6,安徽,台湾,310801198510223339,一般或较弱,13606293019
10000267,秋线已,22,男,1997-12-17,道口路133号-8-7,云南,台湾,652121200302221421,残疾,13008223407
10000268,卢工调,31,女,1993-11-23,泰州街90号-14-10,上海,台湾,542205198512213608,一般或较弱,13800693481
10000269,束必从,25,男,1995-04-24,澄海三路42号-17-5,江苏,台湾,350524193108156099,一般或较弱,13503207194
10000270,广形国,33,男,1994-05-14,银川西路20号-9-4,安徽,中国,220508194908101683,残疾,13802060779
10000271,盛立女,27,女,1992-12-15,镇江街119号-10-2,上海,香港,140108195709098112,残疾,15208031394
10000272,宦科每,22,男,1997-06-07,金乡东路91号-6-1,云南,香港,13062719610611445,健康或良好,15304087172
10000273,尚温相,18,男,1996-02-06,鱼台街47号-17-7,安徽,中国,15022119730528622,有生理缺陷,15505025128
10000274,柏项素,20,女,1994-05-29,博兴路28号-15-10,云南,香港,530705196705139631,残疾,15800694777
10000275,车原木,32,男,1994-06-23,伏龙山路82号-8-1,上海,中国,542234195603056379,有生理缺陷,15500639054
10000276,支间任,25,男,1996-01-20,奉化街47号-17-6,云南,台湾,500431196003191776,健康或良好,15607630010
10000277,督接查,20,女,1994-02-22,嘉峪关路77号-13-4,江苏,澳门,622410192303036975,残疾,13608261726
10000278,许本算,24,男,1993-01-04,北京街146号-7-9,云南,台湾,342109194008224917,有慢性病,15003763586
10000279,燕费排,31,女,1992-04-17,大港纬五路84号-17-1,云南,澳门,610436198310148079,一般或较弱,15301354311
10000280,萧供性,26,男,1992-10-14,吴县一街138号-2-9,云南,中国,340910193304167312,有生理缺陷,15503843912
10000281,皮收话,35,女,1997-03-09,天台东一路51号-13-1,上海,中国,501006193610271683,有慢性病,15001117212
10000282,元放你,35,男,1993-04-21,金乡广场81号-11-4,云南,澳门,462604198606109271,健康或良好,15107435656
10000283,凌把市,30,女,1998-01-21,礼阳路96号-4-9,云南,台湾,63233319510909576,一般或较弱,15507272854
10000284,喻尔它,31,男,1993-12-01,昌邑街26号-3-4,上海,台湾,712405195711211061,残疾,13104604258
10000285,松同阶,34,女,1996-06-03,黄岛路46号-11-4,安徽,中国,222735199408147957,有慢性病,15902568743
10000286,舒开场,30,女,1994-12-04,港青街72号-4-5,安徽,台湾,14092619560128180,残疾,15104787156
10000287,强上交,31,女,1996-12-29,大麦岛38号-8-2,上海,香港,32232120000411656,健康或良好,15105022089
10000288,廖物相,23,女,1994-02-18,沈阳支大厦136号-3-10,上海,中国,342321194407217504,一般或较弱,15206421788
10000289,米少例,23,男,1994-12-01,澄海路79号-18-4,安徽,中国,352306199310226436,健康或良好,13802525345
10000290,谯次导,24,女,1997-06-18,明水路98号-5-10,上海,台湾,510526195502105764,有慢性病,13705530801
10000291,王外仅,28,男,1995-05-29,红山峡支路103号-16-7,安徽,美国,520223199608286887,有慢性病,15108176235
10000292,狄及么,23,男,1994-01-10,硕阳街39号-18-1,上海,香港,360231194712255755,健康或良好,13407651675
10000293,曹题系,22,女,1995-05-02,东海一大厦109号-3-7,上海,美国,450107197209188688,有慢性病,13902064535
10000294,幸路素,34,男,1996-11-18,徐家麦岛函谷关广场29号-17-10,安徽,台湾,502227193903134031,有慢性病,13605330613
10000295,田席内,22,女,1992-08-01,姜沟路132号-4-10,上海,澳门,152424195110156127,残疾,13103993421
10000296,年供构,32,女,1992-01-01,新田路75号-7-9,江苏,美国,640224200506265727,健康或良好,15902486841
10000297,谢用表,28,女,1995-05-14,刘家峡路25号-15-10,上海,中国,330501195002068565,健康或良好,15808107329
10000298,裴强中,22,女,1995-01-30,齐东路121号-1-8,湖北,香港,432204192710318896,有慢性病,13308405213
10000299,鲍给官,22,男,1993-11-29,太清路67号-4-6,上海,中国,11273619770720862,有慢性病,15602344527
10000300,安光务,21,女,1997-05-12,滨县广场36号-15-4,江苏,中国,35092919780529275,有慢性病,13103082982
10000301,别放七,32,女,1995-09-16,紫荆关街127号-13-8,上海,中国,311030192809011283,一般或较弱,15207741509
10000302,诸全包,31,女,1994-07-29,长城大厦67号-3-7,江苏,台湾,632221201703237810,健康或良好,13004826547
10000303,瞿部制,19,女,1994-04-23,大港纬三街32号-1-10,云南,香港,710429198404184557,健康或良好,13000070959
10000304,赖席和,23,男,1997-02-02,延安一街138号-6-7,云南,台湾,150328195509286571,有生理缺陷,15101216907
10000305,索还复,32,男,1992-12-16,荷泽一路109号-1-2,云南,美国,500508191910244950,有慢性病,13002993491
10000306,汲题们,25,女,1995-05-14,台东二路18号-3-4,湖北,美国,542523195708041656,健康或良好,13201507605
10000307,穆死他,26,男,1995-11-04,硕阳街29号-17-3,江苏,中国,352207193712306421,残疾,15704671164
10000308,籍认速,24,男,1995-07-20,国城路141号-9-4,湖北,台湾,622332198205251229,一般或较弱,15005096423
10000309,法叶入,35,女,1996-02-09,康城街40号-20-2,湖北,美国,342709193608182239,健康或良好,13702350314
10000310,喻百务,24,男,1991-11-17,古田路146号-4-4,云南,香港,622709191907119356,残疾,15003875874
10000311,督传也,27,男,1992-02-28,丰海路130号-8-1,云南,香港,61210320020406854,一般或较弱,13006157620
10000312,陆供对,34,男,1995-01-06,万寿路96号-20-4,云南,香港,530506198210278581,有生理缺陷,15805164410
10000313,郏属却,18,男,1994-03-13,福清广场48号-14-6,江苏,澳门,502109196008132005,残疾,13301070448
10000314,瞿务液,26,男,1993-06-08,德盛街144号-12-4,江苏,澳门,522737199804067053,一般或较弱,13607451636
10000315,卜体差,27,男,1993-07-29,风岗街86号-19-3,湖北,香港,500125197906289515,有慢性病,13900917655
10000316,暨越感,18,女,1996-01-26,馆陶街38号-13-10,安徽,澳门,132729195009245192,有生理缺陷,13708888966
10000317,殷除情,25,女,1997-01-06,福州南路30号-15-10,湖北,澳门,632609192001115584,一般或较弱,15702003992
10000318,景食么,23,女,1997-04-20,大港纬四街78号-9-10,上海,台湾,152609199011241472,有慢性病,13507091508
10000319,耿识派,31,女,1993-03-07,滋阳街141号-15-8,安徽,澳门,452408198402225912,有慢性病,15105298187
10000320,凌关走,30,男,1996-11-07,顺城路79号-19-6,安徽,美国,652708197906248088,有生理缺陷,15702664827
10000321,邴商七,33,男,1993-12-01,山西广场61号-7-9,上海,中国,510932197508106183,健康或良好,15306765409
10000322,乐木省,19,女,1992-05-27,澳门九广场119号-15-9,安徽,香港,420632192710089164,健康或良好,15607748082
10000323,莫工区,24,女,1997-11-27,东五街102号-8-1,云南,台湾,542302195009226053,一般或较弱,13707391175
10000324,祁原门,33,男,1996-08-25,德盛街116号-17-3,湖北,澳门,420405195710161174,有慢性病,15103407289
10000325,罗章特,18,女,1997-09-29,红山峡支路122号-19-5,上海,中国,342704199710229585,残疾,15806947708
10000326,蒙病均,23,男,1992-04-19,山口路81号-3-5,云南,台湾,120505196410297592,一般或较弱,13704597000
10000327,平员是,19,男,1993-12-06,团岛路45号-6-9,安徽,香港,812730199212128230,健康或良好,13203313646
10000328,元光很,32,男,1992-10-28,澳门一路110号-11-8,云南,香港,522636193812163899,有慢性病,13408711774
10000329,陈养言,26,男,1992-11-07,承德街16号-6-1,江苏,澳门,432433196710144076,残疾,13407061993
10000330,堵色示,20,女,1996-10-19,吴兴大厦17号-13-4,江苏,美国,230534201410042697,健康或良好,15900671497
10000331,狄交何,18,女,1992-08-28,观海一路57号-15-5,上海,美国,410235197802271223,健康或良好,13808859015
10000332,阎还程,25,女,1993-08-26,淄川广场86号-6-1,湖北,美国,450606194909015890,有慢性病,15603882232
10000333,寿首我,19,女,1993-01-11,清和街120号-11-2,湖北,香港,140129199603047863,残疾,13007105012
10000334,丁已员,27,女,1994-04-15,仙山西大厦54号-4-6,上海,美国,450403194205145540,有生理缺陷,13407641077
10000335,慎争多,31,男,1995-04-17,汕头街103号-8-4,上海,台湾,23223719731002946,健康或良好,13401797222
10000336,荀分办,24,男,1994-11-06,菜市一街35号-17-2,湖北,澳门,15082819421226104,残疾,15308038769
10000337,闽会但,30,女,1994-09-09,太平路143号-1-2,安徽,澳门,212234198505193134,一般或较弱,15007213998
10000338,杨究每,29,男,1997-10-12,镇江街95号-11-5,上海,台湾,43090519340319556,有慢性病,13804670704
10000339,孔项施,24,男,1991-12-07,牟平街127号-5-8,湖北,澳门,360827195908271935,健康或良好,13801035958
10000340,楮望则,32,女,1993-06-20,中城路60号-12-6,云南,澳门,452427192209045533,有生理缺陷,13301952133
10000341,曾组量,24,女,1998-01-04,嘉祥路96号-11-5,江苏,中国,65211019420428437,健康或良好,15802406078
10000342,翟没事,30,男,1997-11-05,小港一大厦24号-18-2,江苏,澳门,372102198011238835,有慢性病,15200817347
10000343,史九间,35,男,1992-09-05,泰州一路148号-2-2,安徽,澳门,112732192006164099,一般或较弱,15902495747
10000344,计矿技,19,男,1992-07-09,台西二街42号-1-3,江苏,美国,452226195609203943,残疾,13000015713
10000345,习件罪,33,女,1995-11-14,大尧三路23号-1-2,湖北,香港,62072719270117959,有慢性病,13807810576
10000346,惠护结,18,男,1991-12-20,芝罘路122号-12-6,江苏,台湾,440602198903219103,一般或较弱,13302610074
10000347,仲该院,29,男,1996-09-18,禹城街137号-11-2,江苏,台湾,530535193611263706,一般或较弱,15600162213
10000348,路直均,20,女,1994-06-26,江宁广场76号-16-2,上海,美国,112709196210094372,残疾,13606542318
10000349,沈律真,33,女,1994-10-16,泰州五街103号-4-10,上海,香港,310132195809029355,一般或较弱,13006628772
10000350,杨海已,35,女,1993-11-19,长城大厦23号-15-5,湖北,中国,710732195902145115,有慢性病,15301523417
10000351,雷对和,28,女,1997-07-22,红岛路28号-12-6,安徽,澳门,232633197912069419,残疾,13503140132
10000352,时适应,34,女,1995-04-04,清平路30号-1-7,上海,澳门,612733196909261245,有慢性病,13907844850
10000353,项圆造,30,女,1993-08-29,旌德路124号-11-3,安徽,中国,812528193101063500,健康或良好,13707856655
10000354,杨就离,23,女,1996-06-20,台东六路56号-14-7,江苏,香港,462709197911073132,健康或良好,13200080940
10000355,鞠领行,35,男,1997-08-02,通化路16号-19-2,江苏,香港,361009197001044290,有生理缺陷,13406227974
10000356,相活报,23,女,1995-02-28,河北大厦129号-3-4,云南,台湾,140222194801036750,有慢性病,13602438989
10000357,廖除无,19,男,1995-05-20,冠县路17号-12-3,云南,台湾,412230192607142664,有生理缺陷,13503999003
10000358,谷为们,23,男,1997-06-25,春阳路147号-7-8,安徽,澳门,710903200203052403,残疾,15300660668
10000359,谈音史,28,女,1992-07-16,阳明广场38号-15-4,江苏,中国,132507193007042352,一般或较弱,15706922067
10000360,毕某声,21,男,1993-08-30,仙山东路130号-11-7,湖北,美国,410536201703083865,残疾,15503044147
10000361,琴总安,20,女,1996-07-10,十梅庵街77号-6-9,上海,中国,640702193802212340,一般或较弱,13402404775
10000362,璩非续,24,男,1993-05-05,港夏街42号-2-7,云南,澳门,512325193507023401,有生理缺陷,13706952096
10000363,山路基,33,女,1997-01-23,清和街37号-17-8,云南,香港,520608194010208162,一般或较弱,13004256538
10000364,楚院段,26,女,1995-08-10,福山支广场48号-16-2,上海,香港,130726195606222809,有慢性病,15908422861
10000365,郭说试,25,男,1993-07-31,青海街144号-5-5,江苏,美国,710808199502132847,有生理缺陷,13304740297
10000366,储们分,31,女,1996-06-04,洮南大厦48号-4-8,湖北,澳门,232422198804255937,健康或良好,13601678041
10000367,沃采打,22,女,1992-10-22,锦城广场127号-7-2,湖北,台湾,812401198902134836,有生理缺陷,13905600625
10000368,勾只充,30,男,1995-04-15,太平角六街70号-11-7,江苏,台湾,35033119620410577,有生理缺陷,15307395543
10000369,梅明马,30,男,1996-06-26,桓台路52号-2-10,安徽,中国,312232198206293209,一般或较弱,15606231274
10000370,杭要北,23,女,1997-03-23,埕口路73号-14-10,江苏,台湾,532236193904045194,健康或良好,13408648536
10000371,游作事,20,女,1992-12-01,兴阳路93号-3-5,湖北,台湾,812233192212229943,一般或较弱,13008094249
10000372,鄢已几,23,女,1994-07-23,吉林支路16号-13-7,江苏,美国,440609192707182210,健康或良好,13708701790
10000373,蒋事万,23,女,1997-08-22,团岛一街136号-11-8,江苏,澳门,812233195711025733,一般或较弱,15000073559
10000374,葛情批,20,男,1992-12-06,长汀街17号-14-10,安徽,香港,312524199401054024,残疾,13402782681
10000375,昝严左,34,女,1997-04-04,松江路62号-14-2,云南,中国,140635200604074704,一般或较弱,15202913403
10000376,赖体花,25,男,1992-11-26,芙蓉山村127号-7-5,湖北,美国,712406193401079403,残疾,13303662530
10000377,殳较义,23,女,1997-01-03,宁国一支广场136号-1-3,上海,香港,462225200601244105,有生理缺陷,13001081175
10000378,毋都制,28,女,1994-09-12,流亭立交桥89号-5-1,云南,澳门,632209195107203262,健康或良好,15002638371
10000379,敖联育,18,女,1996-02-07,莱芜二路37号-3-4,上海,澳门,422731192709072541,残疾,13700177096
10000380,虞术离,27,女,1992-07-28,莆田街103号-10-8,云南,香港,422607197011296995,有生理缺陷,15801718560
10000381,斜置百,20,男,1993-07-19,峄县路73号-11-10,江苏,美国,540836197806131968,一般或较弱,13307264152
10000382,段出七,18,男,1993-09-20,青海街81号-3-4,湖北,香港,212223200804149571,健康或良好,15606832999
10000383,有李师,29,男,1992-10-13,闽江大厦60号-17-6,安徽,澳门,632532197710083770,一般或较弱,15602792051
10000384,麻院种,19,男,1991-11-18,青大一街65号-15-9,安徽,台湾,512410195312066153,一般或较弱,15605955299
10000385,卢教落,32,男,1994-01-23,春阳路18号-19-1,云南,澳门,650605194607103339,有慢性病,15706546434
10000386,嵇争统,20,女,1992-08-23,西藏路33号-3-7,江苏,美国,430405192106225113,有生理缺陷,15607034387
10000387,严德常,18,男,1995-05-01,兴安大厦22号-16-6,湖北,台湾,222707196305041538,有慢性病,13902551343
10000388,费小已,30,男,1995-05-31,福山大厦148号-4-9,湖北,中国,5104361970030685,有慢性病,15902083059
10000389,缪效商,31,女,1997-12-10,文阳街127号-19-8,湖北,美国,140806199308239773,健康或良好,13105261069
10000390,越放候,28,女,1994-06-13,山口路148号-13-2,安徽,美国,310110201606088283,有生理缺陷,15300752989
10000391,苏眼劳,26,男,1997-02-04,湘潭街124号-20-4,上海,台湾,810402193007013140,残疾,15702273248
10000392,扈米关,25,男,1997-09-28,济宁支街89号-18-2,安徽,香港,630222200803215578,一般或较弱,13901047914
10000393,厍从红,31,男,1992-12-17,招远街30号-3-7,江苏,美国,150204193812254691,健康或良好,15303525688
10000394,伏队来,25,女,1995-08-14,无棣街54号-4-4,上海,台湾,122710195103306143,健康或良好,13601124686
10000395,融地求,30,男,1996-02-22,徐家麦岛函谷关广场84号-9-6,安徽,香港,440125192909214262,健康或良好,15608396412
10000396,储台话,31,男,1995-11-30,泰州街72号-1-6,云南,台湾,540635192507236516,残疾,13100131609
10000397,宁充业,27,男,1995-03-10,台西四街21号-16-8,云南,美国,15052419491026484,残疾,15204888926
10000398,凤业过,25,男,1995-06-13,辽北街123号-3-8,安徽,香港,152731201508274887,有生理缺陷,15607118954
10000399,单色区,20,女,1992-11-16,广东广场136号-14-3,安徽,香港,420335197807228542,残疾,13002532270
10000400,宦收切,31,女,1996-07-31,齐东路69号-6-1,湖北,香港,140304201107263579,残疾,15004902155
10000401,焦项对,32,男,1991-11-10,延安一街110号-15-9,湖北,香港,64212619430906871,有慢性病,15507945557
10000402,江较看,34,男,1996-06-30,寿康路103号-2-7,安徽,台湾,430407196309248335,有生理缺陷,15206704268
10000403,平压家,31,男,1996-12-15,太平角五路19号-1-9,上海,台湾,112228192302228881,有慢性病,15800384391
10000404,祁只心,19,男,1996-05-17,华阳路111号-7-2,安徽,美国,530730192912062641,残疾,13107795988
10000405,赵固美,34,女,1994-04-13,蒙阴大厦11号-14-2,云南,台湾,620422193107055994,有慢性病,15500498234
10000406,禄调至,32,男,1993-10-05,延吉街82号-10-10,江苏,香港,712203200605177151,有生理缺陷,13807611197
10000407,弓几早,29,男,1997-11-09,台西五路57号-5-3,湖北,中国,122433198501162891,有生理缺陷,15806913797
10000408,匡革密,23,男,1992-02-08,博山大厦71号-13-1,云南,香港,61232619610818214,有生理缺陷,15008016190
10000409,巢判数,21,女,1995-11-12,信号山支路130号-1-2,云南,中国,350709198711234843,有生理缺陷,13105967953
10000410,金讲信,29,男,1997-12-03,江宁广场106号-14-2,上海,香港,812206200809268072,有慢性病,13603737585
10000411,尹更比,18,女,1995-05-23,沾化街33号-20-6,云南,台湾,330107193805206173,残疾,15907165508
10000412,冀远项,20,女,1995-05-18,无棣四路70号-1-1,江苏,澳门,370834199701264441,有慢性病,15708711408
10000413,訾布例,24,女,1993-05-11,莱州路111号-17-7,云南,中国,412305198608064171,健康或良好,15903113203
10000414,危压营,25,女,1995-10-17,宁德街150号-12-5,湖北,中国,630133200208186632,有慢性病,13200757220
10000415,车神强,34,男,1992-07-18,三明南路30号-1-6,江苏,美国,330125197710045884,有生理缺陷,15201473509
10000416,卞热平,30,女,1996-09-29,中城路141号-9-4,上海,台湾,510733197806105152,有慢性病,13700303412
10000417,邰员不,32,男,1992-12-03,京山广场105号-6-2,湖北,香港,630229200205114395,有慢性病,15903881641
10000418,尚死影,31,女,1996-02-04,沈阳街88号-2-9,安徽,美国,310526196411193498,残疾,13804535650
10000419,奚维底,27,男,1997-12-24,中川路140号-19-7,云南,台湾,612627195312258235,健康或良好,15106898420
10000420,曾书条,29,男,1993-10-21,新浦路57号-14-2,湖北,中国,110821191902146022,有慢性病,15003697982
10000421,关就者,24,女,1994-11-19,西藏一广场11号-4-2,云南,美国,432605194009289922,残疾,13308330528
10000422,林德自,31,女,1991-12-22,济宁街149号-11-1,上海,美国,370610193208075435,一般或较弱,13202618887
10000423,涂记极,34,男,1992-03-30,天台二路43号-10-1,江苏,美国,420503199706141949,一般或较弱,13402467835
10000424,仲具育,24,男,1993-02-18,观海二广场139号-12-7,湖北,台湾,362431192412263564,一般或较弱,15700335307
10000425,乐事因,32,女,1994-11-16,龙江街82号-5-9,湖北,美国,461035201304137192,有慢性病,15601719005
10000426,羊视需,34,女,1996-05-24,夏庄街道33号-8-3,湖北,香港,142530201401272851,残疾,13306673214
10000427,逄病物,27,女,1997-04-15,桓台路71号-5-1,上海,澳门,110409192804154173,残疾,15702105465
10000428,璩席长,30,女,1996-11-11,上杭路88号-5-1,江苏,中国,522434201312022047,有慢性病,13804728247
10000429,甄声易,21,女,1997-08-10,太平角五路41号-17-3,云南,美国,520524198407149717,有慢性病,15201104696
10000430,昝技众,26,女,1996-08-04,丰海路69号-13-10,云南,台湾,21103220111027118,健康或良好,13404116588
10000431,干区须,28,男,1993-10-22,湛山路52号-10-5,湖北,中国,630227195403309937,有生理缺陷,15106435380
10000432,红交引,25,女,1995-10-09,洪泽湖路88号-2-4,湖北,澳门,232232195506039094,有生理缺陷,13904296287
10000433,林影连,21,女,1995-02-17,龙羊峡路51号-4-1,云南,美国,540635197510302437,一般或较弱,13701501468
10000434,宣多带,29,男,1996-07-25,台西三路108号-9-5,湖北,台湾,4623091944100430,健康或良好,15906750489
10000435,文气极,30,女,1995-01-14,市场纬街15号-16-10,安徽,台湾,520527194408229226,一般或较弱,13903791043
10000436,爱组王,19,女,1996-07-27,泰兴广场44号-14-3,安徽,香港,410229192207042298,残疾,15808860980
10000437,融机对,20,女,1998-01-22,恒台街16号-10-1,江苏,台湾,350725196607144661,健康或良好,15801967082
10000438,洪收苏,33,男,1997-02-05,泰州街38号-17-2,江苏,中国,612227200407072391,健康或良好,13904598378
10000439,谈或必,22,女,1993-07-25,山海关路79号-9-4,上海,中国,632510201309064622,一般或较弱,13507253801
10000440,邓官省,29,男,1992-07-03,澳门九广场141号-7-2,湖北,澳门,712234201211084679,健康或良好,15301367957
10000441,那席论,31,男,1997-08-24,周村大厦99号-9-10,江苏,中国,500435195706241515,一般或较弱,13801566619
10000442,花帮或,23,男,1995-10-21,珠海街72号-20-8,上海,台湾,540802195904201830,有慢性病,15508316752
10000443,庞的安,35,男,1995-02-04,博山大厦55号-6-5,云南,台湾,640409199812081419,健康或良好,15000342148
10000444,平个表,25,女,1993-04-25,吴兴一广场56号-17-2,上海,台湾,310637201306298735,有慢性病,13000723865
10000445,荣电意,35,女,1996-01-26,正阳关街114号-18-3,上海,中国,112125196310272887,有生理缺陷,15908160665
10000446,邓儿此,18,男,1995-09-16,泉州街127号-16-1,安徽,澳门,520431198301195825,有生理缺陷,13501853213
10000447,冷数供,26,男,1991-12-06,丽水街75号-12-6,江苏,中国,461026194910019495,一般或较弱,13204590179
10000448,濮改无,31,女,1992-06-11,明水路96号-12-2,江苏,香港,432329193006239368,残疾,15606598143
10000449,况均性,27,男,1997-01-16,澳门九广场30号-3-9,云南,香港,420808196010233232,一般或较弱,13607612087
10000450,柯果动,35,女,1997-09-06,明阳大厦29号-6-2,江苏,中国,540428195812223852,残疾,15201828486
10000451,荣导称,34,男,1995-10-19,松山广场24号-8-1,江苏,美国,150728193904055212,健康或良好,15104373828
10000452,权利算,18,男,1996-06-20,中山街108号-4-7,云南,美国,652424197610288308,健康或良好,15105710456
10000453,雷种化,28,男,1992-05-02,湛山三路57号-9-1,云南,台湾,41072219970820375,残疾,13702726732
10000454,陈声积,31,女,1997-06-16,文登广场71号-5-4,云南,台湾,610526201402132740,有生理缺陷,13405364756
10000455,骆司展,20,女,1993-03-16,峄县路37号-18-5,云南,美国,362236192201144098,有生理缺陷,13408207721
10000456,祖劳另,23,男,1994-11-16,白沙河路66号-3-4,江苏,澳门,430601201102206269,健康或良好,15200304750
10000457,郗林矿,34,男,1993-01-25,崇阳街54号-19-4,湖北,台湾,232531193405222642,健康或良好,15803211131
10000458,红含认,29,男,1993-07-16,艳阳街79号-13-6,江苏,澳门,511036196304083047,有生理缺陷,15100955808
10000459,项器里,21,女,1996-01-05,长春街144号-7-4,安徽,美国,130337197403286016,一般或较弱,13304561410
10000460,沈社围,31,男,1995-07-30,观音峡广场74号-10-1,上海,香港,120901194307039207,有生理缺陷,15303278888
10000461,应两路,24,男,1992-05-10,长城大厦43号-18-7,上海,中国,362225199512313827,残疾,13800498904
10000462,伍儿外,32,男,1998-01-18,郭口东街97号-5-2,湖北,台湾,362207195906021263,有慢性病,15705766488
10000463,邴历也,20,男,1996-06-06,观海一路31号-6-10,上海,香港,452103197907256827,一般或较弱,13407036865
10000464,祁新矿,20,女,1996-01-24,三明北街129号-13-3,江苏,美国,612624197208285095,一般或较弱,13100400792
10000465,宁么企,23,男,1994-06-09,河南广场112号-4-10,上海,台湾,500726192212263054,健康或良好,15708156873
10000466,慎计花,21,男,1996-01-06,太平角一街61号-11-3,江苏,澳门,52230819610105509,残疾,15306553428
10000467,滕次一,19,男,1994-04-25,云门二路132号-16-10,湖北,澳门,410137196805152801,有慢性病,13804256737
10000468,耿持随,26,女,1992-03-22,莒县路94号-10-10,上海,中国,511034201307133340,健康或良好,13006303889
10000469,温素不,31,女,1997-04-28,泰州街122号-4-6,安徽,美国,710630192412148715,有慢性病,15102378347
10000470,逑设书,33,男,1993-09-28,潍县广场119号-11-9,安徽,澳门,152228196207238942,残疾,15603137383
10000471,屠说说,33,女,1991-12-02,石村广场46号-14-1,湖北,澳门,650209192512244165,残疾,15605327321
10000472,亢转验,25,女,1996-09-10,武胜关广场25号-18-7,湖北,中国,232534192209232661,一般或较弱,13605786045
10000473,平温造,25,男,1992-11-22,台西纬五路134号-19-2,湖北,台湾,152410192508051949,残疾,15007303539
10000474,弘白立,34,男,1993-03-13,菜市二路146号-19-3,上海,中国,422136201609296412,有生理缺陷,15600266199
10000475,甘口者,27,男,1996-03-11,湛山路66号-12-6,湖北,澳门,13222719240716286,残疾,15800480177
10000476,钮增爱,25,男,1993-09-01,瑞云街119号-1-2,湖北,台湾,13223720050206403,残疾,13000516035
10000477,文里原,23,男,1997-09-29,郧阳路54号-9-8,湖北,澳门,322324198905265247,健康或良好,13804264508
10000478,宫状另,25,男,1993-12-19,即墨路41号-19-10,云南,台湾,360808195203237258,一般或较弱,13400463489
10000479,乌化厂,18,女,1995-10-16,禹城街34号-1-5,江苏,香港,230822192509052122,健康或良好,15305577204
10000480,翁难步,21,女,1995-02-26,夏津大厦64号-5-6,云南,台湾,110126201003024015,一般或较弱,13801553473
10000481,麻容研,30,男,1996-09-10,晓望街45号-13-2,安徽,澳门,410636198604255947,有慢性病,15503017460
10000482,冷可委,19,男,1993-12-05,东海一大厦129号-15-10,安徽,香港,110626192505044264,一般或较弱,13507895598
10000483,章放河,20,男,1995-11-08,华严路144号-4-6,云南,台湾,430233194812032686,有慢性病,15005504947
10000484,卫国近,20,女,1993-12-26,澄海路79号-5-9,云南,台湾,372431199101124199,有慢性病,13605596110
10000485,秋许制,21,女,1997-10-22,惠民南路146号-15-4,江苏,香港,652329200909307683,有生理缺陷,15102936033
10000486,秦术资,32,男,1995-11-19,云溪广场108号-16-4,上海,美国,712325201602298590,健康或良好,15802544576
10000487,那对好,35,男,1991-10-12,临邑路65号-6-10,安徽,澳门,310124194601036005,一般或较弱,13805338512
10000488,郁向太,32,男,1992-07-08,宁波路123号-4-9,云南,香港,4322371992032027,健康或良好,15504043275
10000489,宁离方,21,女,1996-08-04,丹东街145号-5-9,安徽,中国,410206193607197141,残疾,15900080366
10000490,左元清,20,女,1993-09-05,平度广场127号-16-1,上海,中国,632502196302149903,一般或较弱,13705967197
